models;nb_info_transmi;LL1;LL0;mTDT_Stat;DF;mTDT_asympt_Pval;mTDT_asympt_Pval_FDR;mTDT_empirical_Pval;mTDT_empirical_Pval_FDR
M1;11;-32,6;-32,6;0;1;0,965460867640262;0,965460867640262;1;1
M6;40;-31,2;-32,6;2,8;1;0,094299606608546;0,377198426434184;0,1;0,4
Additive:M1+M6;47;-31,2;-32,6;2,78;2;0,249047871774064;0,478784447978674;0,3;0,6
Epistasis:M1*M6;47;-31;-32,6;3,22;3;0,359088335984006;0,478784447978674;0,6;0,8
